diet,true_cfc,predicted_cfc
0.0,18.22,0.36329308
3.0,46.0,0.67230386
3.0,38.58,0.7731145
1.0,9.87,0.5618278
1.0,87.37,0.7068164
2.0,12.98,0.71304625
1.0,7.82,0.6251655
3.0,9.56,0.88176566
0.0,31.47,0.40742385
1.0,85.56,0.45950148
4.0,92.04,0.75614303
2.0,64.4,0.45434973
4.0,72.0,1.1994784
1.0,4.71,0.30670843
1.0,57.78,0.47201842
2.0,74.4,0.7415331
3.0,35.82,0.78846806
3.0,26.58,0.5679315
3.0,50.13,0.84615934
0.0,11.6,0.09233041
4.0,15.11,0.94224745
1.0,18.22,0.009600818
0.0,60.47,0.23820442
1.0,45.38,0.72066855
0.0,57.02,0.3233387
3.0,34.36,0.8046134
2.0,34.67,0.660986
2.0,65.91,0.38311067
2.0,33.47,0.64809877
4.0,37.91,0.90089047
2.0,18.71,0.7577414
1.0,60.62,0.63404804
3.0,19.16,0.84659666
0.0,8.84,0.16060504
1.0,65.6,0.53236485
0.0,78.89,0.044234052
2.0,23.69,0.16852237
3.0,77.69,0.4451529
4.0,82.98,0.9319679
4.0,25.24,0.8914357
4.0,69.82,0.6630271
1.0,57.69,0.4878415
4.0,36.67,0.8327202
2.0,15.82,0.67933166
1.0,78.18,0.7814029
2.0,43.02,0.80256337
3.0,79.01,0.39579332
4.0,10.31,0.672313
4.0,88.98,0.6960829
0.0,12.67,-0.07364658
4.0,11.16,0.38386878
0.0,17.07,-0.09145131
1.0,49.6,0.05526094
1.0,55.51,0.3728381
3.0,33.78,0.80334985
3.0,23.73,0.90615386
2.0,78.0,0.29051343
0.0,52.8,0.672466
0.0,19.6,0.30648217
3.0,65.51,0.4353618
0.0,24.89,0.3196927
0.0,50.49,0.5705937
4.0,51.11,0.5193687
1.0,55.6,0.6991603
1.0,57.69,0.67061675
2.0,19.16,0.924609
0.0,3.78,0.36456588
4.0,61.2,0.7255773
3.0,95.91,0.7016714
0.0,73.69,0.31105527
4.0,18.31,0.36137357
2.0,86.67,0.6361279
1.0,70.8,0.42339316
0.0,30.98,-0.09861665
4.0,13.29,0.65912956
2.0,10.27,0.80071837
0.0,27.96,0.69144464
1.0,42.89,0.36482263
0.0,23.82,0.49268472
4.0,8.36,0.75431997
4.0,83.87,0.66724354
4.0,20.44,0.66371447
0.0,27.02,0.5415086
3.0,42.67,0.24942806
0.0,13.29,0.5162742
3.0,41.87,0.6105807
3.0,62.21,0.7360694
4.0,57.42,0.6092768
2.0,87.46,0.344154
4.0,76.49,0.53521544
3.0,95.07,0.23905814
3.0,65.24,0.74738306
0.0,19.2,0.5243133
3.0,44.22,0.8677452
3.0,31.07,0.57267475
4.0,41.13,0.68088037
2.0,86.89,0.32713482
3.0,72.8,0.7158095
4.0,67.42,0.946569
1.0,60.71,0.6866167
2.0,83.33,0.4869059
